Ejercicio,q,nombreQ,idMunicipio,programa,subPrograma,nombre,noLocalidad,ejecutor,obraOAccion,modalidad,situacion,federal,estatal,municipal,beneficiarios,otros,meta,metaCantidad,tipoBeneficiario,numeroMujeres,numeroHombres,fechaInicio,fechaTermino,tieneProyecto,tieneExpTec,coordenadas - descripcion,coordenadas - geometria,coordenadas - tipoCoordenada,coordenadas - esCentroDeObra,estatus,porcentajeAvance,idRubro,idEjeEstrategico
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,HERRERIA PIÑON,,SDES,2,AD,IT,0,"$18,800.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CARPINTERIA EL RODRIGUEZ,,SDES,2,AD,IT,0,"$26,450.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,COMIDAS CUQUITA,,SDES,2,AD,IT,0,"$39,431.00",0,2,0,PERSONAS,2,PERSONA,1,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,SERVICIOS GASTRONOMICOS DE LEON,,SDES,2,AD,IT,0,"$19,251.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,TALLER LOPEZ,,SDES,2,AD,IT,0,"$19,201.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CONSTRUCCIONES VALTIERRA,,SDES,2,AD,IT,0,"$20,799.99",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,POLLERIA LA NUEVA,,SDES,2,AD,IT,0,"$22,680.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CONSTRUCCIONES SOFIO,,SDES,2,AD,IT,0,"$19,499.99",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,HOJALATERIA ESTRADA,,SDES,2,AD,IT,0,"$24,048.53",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CONSTRUCTORA MONTES,,SDES,2,AD,IT,0,"$24,959.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CARPINTERIA RODRIGUEZ,,SDES,2,AD,IT,0,"$23,480.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PASTELERIA PAO,,SDES,2,AD,IT,0,"$21,587.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,HERRERIA SAN JUAN,,SDES,2,AD,IT,0,"$22,636.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,HOJALATERIA Y PINTURA GARCIA,,SDES,2,AD,IT,0,"$23,750.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,HERRERIA EL CERRITO,,SDES,2,AD,IT,0,"$14,329.41",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CONSTRUCCIONES ROCHA,,SDES,2,AD,IT,0,"$20,799.99",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CONSTRUCCIONES LICEA,,SDES,2,AD,IT,0,"$24,674.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CONSTRUCCIONES DORADO,,SDES,2,AD,IT,0,"$20,799.99",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,ALBAÑILERIA  JIMENEZ,,SDES,2,AD,IT,0,"$20,799.99",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,DULCES CELI,,SDES,2,AD,IT,0,"$14,999.67",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PANADERIA LUPITA,,SDES,2,AD,IT,0,"$27,777.00",0,2,0,PERSONAS,2,PERSONA,1,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PRODUCTOS HORNEADOS BLANQUITA,,SDES,2,AD,IT,0,"$27,041.00",0,2,0,PERSONAS,2,PERSONA,2,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,TACOS Y ALGO MAS,,SDES,2,AD,IT,0,"$21,294.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,TALLER DE ELECTRODOMESTICOS LUPILLOS,,SDES,2,AD,IT,0,"$21,057.97",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,ROSTICERIA MAURI,,SDES,2,AD,IT,0,"$24,188.32",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PALETRERIA CRIS S,,SDES,2,AD,IT,0,"$34,990.24",0,2,0,PERSONAS,2,PERSONA,1,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,TORTILLAS DE PRENSA LETY,,SDES,2,AD,IT,0,"$22,539.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CENADURIA ROSY,,SDES,2,AD,IT,0,"$22,227.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,GORDITAS Y QUESADILLAS YAYAS,,SDES,2,AD,IT,0,"$43,235.00",0,3,0,PERSONAS,3,PERSONA,3,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,HAMBURGUESAS MIGUELITO,,SDES,2,AD,IT,0,"$20,900.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PANADERIA LA TRADICIONAL,,SDES,2,AD,IT,0,"$38,878.00",0,2,0,PERSONAS,2,PERSONA,1,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,RESTAURANTE BLUE MOON,,SDES,2,AD,IT,0,"$44,944.00",0,2,0,PERSONAS,2,PERSONA,1,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,HOJALATERIA Y PINTURA MAYCO,,SDES,2,AD,IT,0,"$20,900.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
